"id","samp_period","series","series_rep","rep_id","log.co2pmin_22","log.co2pmin_26","log.co2pmin_28","log.co2pmin_24","log.co2pmin_32","log.co2pmin_30","z.log.mass_22","z.log.mass_26","z.log.mass_28","z.log.mass_24","z.log.mass_32","z.log.mass_30","prior_temp_22","prior_temp_26","prior_temp_28","prior_temp_24","prior_temp_32","prior_temp_30"
"ld0006",3,"ld0006_3","ld0006_3_c_co2_samp_2","c_co2_samp_2",-5.131591851,NA,NA,-4.680052927,-3.907240763,NA,-1.29904129860289,NA,-1.29904129860289,-1.45558971140741,-1.45558971140741,NA,25.5,25.5,22,32,22.5,26
"ld0006",4,"ld0006_4","ld0006_4_c_co2_samp_1","c_co2_samp_1",-4.444534358,-4.130606518,-3.614387741,-4.311748646,-3.723759943,-5.528149655,-1.35091440838462,-1.11142106954256,-0.985760084240602,-1.11142106954256,-1.35091440838462,-0.985760084240602,32,24.5,30,26,25.5,25
"ld0006",4,"ld0006_4","ld0006_4_c_co2_samp_2","c_co2_samp_2",NA,-4.069257988,-3.650429138,-4.308350274,-5.815410551,-3.828192821,-1.35091440838462,-1.11142106954256,-0.985760084240602,-1.11142106954256,-1.35091440838462,-0.985760084240602,32,24.5,30,26,25.5,25
"ld0006",5,"ld0006_5","ld0006_5_c_co2_samp_1","c_co2_samp_1",NA,-3.070855094,-3.857811658,-4.418814491,-3.134280352,-3.443565172,-0.531910255263733,-0.731627012184728,-0.547721386600918,-0.547721386600918,-0.731627012184728,-0.531910255263733,23.5,25.5,22,28,26,22
"ld0006",5,"ld0006_5","ld0006_5_c_co2_samp_2","c_co2_samp_2",NA,-3.3208086,-3.816850622,-4.227311159,-3.30269361,-3.471421626,-0.531910255263733,-0.731627012184728,-0.547721386600918,-0.547721386600918,-0.731627012184728,-0.531910255263733,23.5,25.5,22,28,26,22
"ld0006",6,"ld0006_6","ld0006_6_c_co2_samp_1","c_co2_samp_1",NA,NA,NA,NA,-3.69374581,NA,-1.03580874948129,-1.01909412439327,-0.812804052861075,-1.01909412439327,-1.03580874948129,-0.812804052861075,32,24,23.5,24,24,28
"ld0006",6,"ld0006_6","ld0006_6_c_co2_samp_2","c_co2_samp_2",-4.788117433,-4.220104353,NA,NA,NA,NA,-1.03580874948129,-1.01909412439327,-0.812804052861075,-1.01909412439327,-1.03580874948129,-0.812804052861075,32,24,23.5,24,24,28
"ld0006",7,"ld0006_7","ld0006_7_c_co2_samp_1","c_co2_samp_1",-4.962430765,-4.048439885,NA,-4.874132445,-3.000159366,-3.668308386,-1.43805688735684,-1.55265146588276,-1.55265146588276,-1.49076080265109,-1.49076080265109,-1.43805688735684,24.5,28,25.5,25,24,22
"ld0006",7,"ld0006_7","ld0006_7_c_co2_samp_2","c_co2_samp_2",-4.891367808,-3.939182852,NA,-4.732358448,-2.900611001,-3.861539317,-1.43805688735684,-1.55265146588276,-1.55265146588276,-1.49076080265109,-1.49076080265109,-1.43805688735684,24.5,28,25.5,25,24,22
"ld0006",8,"ld0006_8","ld0006_8_c_co2_samp_1","c_co2_samp_1",-4.771428099,-4.239420161,-3.926533521,-4.166057805,-3.397175068,-3.758594021,-1.35091440838462,-1.35091440838462,-1.43805688735684,-1.07773513367248,-1.07773513367248,-1.43805688735684,26,23,30,22.5,24,23
