"id","samp_period","incb_temp","series","log.temp","z.log.mass","log.co2pmin","z.log.co2pmin","log.prior_temp1","log.prior_temp2","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0170",1,24,"ld0170_1",3.17805383034795,-0.484364897835337,-5.52473351697797,-0.677557867211791,3.06805293513362,3.3322045101752,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0020",1,30,"ld0020_1",3.40119738166216,-0.193807132903691,-4.95023337943016,0.450935544059666,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0042",1,30,"ld0042_1",3.40119738166216,1.82339833136025,-4.75564290448164,0.833170559377324,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0051",1,30,"ld0051_1",3.40119738166216,1.19954615254406,-4.86630160072721,0.615803144730498,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0118",1,30,"ld0118_1",3.40119738166216,1.45200587618557,-4.92227612578554,0.50585211321814,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0133",1,30,"ld0133_1",3.40119738166216,-0.554629985726985,-4.80573445378053,0.734775485730409,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0140",1,30,"ld0140_1",3.40119738166216,-0.752849909396075,-4.90091964581096,0.547802750588096,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0146",1,30,"ld0146_1",3.40119738166216,0.331389887382602,-4.52546171878206,1.28531658073317,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0150",1,30,"ld0150_1",3.40119738166216,1.04446787602762,-4.75894720230292,0.826679911113755,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0154",1,30,"ld0154_1",3.40119738166216,0.0946130642548687,-5.10627900451573,0.14441436458971,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0170",1,30,"ld0170_1",3.40119738166216,-0.430104929540413,-5.56792222093504,-0.762393648217764,3.25809653802148,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0018",2,24,"ld0018_2",3.17805383034795,1.04446787602762,-5.41289377393659,-0.457870516606093,3.13549421592915,3.13549421592915,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0042",2,24,"ld0042_2",3.17805383034795,1.33930700719965,-5.67034963280781,-0.963592310981163,3.19867311755068,3.19867311755068,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0049",2,24,"ld0049_2",3.17805383034795,1.73955525455837,-5.40911351742923,-0.450444940383109,3.15700042115011,3.15700042115011,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0089",2,24,"ld0089_2",3.17805383034795,0.926312921309986,-5.84843698615242,-1.31341016435537,3.15700042115011,3.15700042115011,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0095",2,24,"ld0095_2",3.17805383034795,1.14171608403403,-5.67003314456564,-0.962970631589469,3.15700042115011,3.15700042115011,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0133",2,24,"ld0133_2",3.17805383034795,-1.20555853304483,-5.67262165535863,-0.968055255915878,3.17805383034795,3.17805383034795,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0140",2,24,"ld0140_2",3.17805383034795,-0.399250884797238,-5.10706117606484,0.142877941215795,3.13549421592915,3.13549421592915,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0154",2,24,"ld0154_2",3.17805383034795,0.457868593550985,-5.45584454032065,-0.542238915681426,3.17805383034795,3.17805383034795,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0155",2,24,"ld0155_2",3.17805383034795,-0.276920176058956,-4.63778294782064,1.06468344484398,3.13549421592915,3.13549421592915,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0170",2,24,"ld0170_2",3.17805383034795,-0.422381127568923,-5.63622018596503,-0.896551672737252,3.11351530921037,3.11351530921037,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0018",2,22,"ld0018_2",3.09104245335832,0.779681782178723,-5.19457988730152,-0.0290354884573935,3.17805383034795,3.13549421592915,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0042",2,22,"ld0042_2",3.09104245335832,1.24426015401227,-5.38478612714421,-0.402658529456812,3.17805383034795,3.19867311755068,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0049",2,22,"ld0049_2",3.09104245335832,1.6183564835538,-4.20257231781988,1.9195697997324,3.17805383034795,3.15700042115011,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0089",2,22,"ld0089_2",3.09104245335832,0.589403722965308,-5.25754689335498,-0.152721884359976,3.17805383034795,3.15700042115011,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0095",2,22,"ld0095_2",3.09104245335832,1.05098510573093,-5.72405518442384,-1.06908638693748,3.17805383034795,3.15700042115011,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0133",2,22,"ld0133_2",3.09104245335832,-0.768904846338523,-6.0397728274021,-1.68925208688646,3.17805383034795,3.17805383034795,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0140",2,22,"ld0140_2",3.09104245335832,-1.04648400822549,-5.38805434552745,-0.409078306704958,3.17805383034795,3.13549421592915,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0154",2,22,"ld0154_2",3.09104245335832,0.174258679981658,-5.36566880021715,-0.365106271296542,3.17805383034795,3.17805383034795,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0155",2,22,"ld0155_2",3.09104245335832,-0.704862556090431,-6.06452051896196,-1.73786409764887,3.17805383034795,3.13549421592915,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0170",2,22,"ld0170_2",3.09104245335832,-0.712842042576433,-5.67846654417367,-0.979536399411407,3.17805383034795,3.11351530921037,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0018",2,28,"ld0018_2",3.3322045101752,0.839967025394838,-4.31914708887524,1.69058141059472,3.24259235148552,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0018",2,32,"ld0018_2",3.46573590279973,0.839967025394838,-4.82140379106454,0.703996130377304,3.28091121578765,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0042",2,32,"ld0042_2",3.46573590279973,1.30141310007424,-4.8206765996207,0.705424556063344,3.28840188751681,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0042",2,28,"ld0042_2",3.3322045101752,1.30141310007424,-5.35202430828233,-0.338304329500128,3.28091121578765,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0049",2,32,"ld0049_2",3.46573590279973,1.50162826125331,-4.72983302078377,0.883869039316873,3.23474917402449,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0049",2,28,"ld0049_2",3.3322045101752,1.50162826125331,-5.05954726818421,0.236209741301878,3.24259235148552,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0089",2,28,"ld0089_2",3.3322045101752,0.616843084775504,-4.95243525626831,0.446610386689131,3.24259235148552,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0089",2,32,"ld0089_2",3.46573590279973,0.616843084775504,-4.70051271631569,0.941463055829957,3.31054301339402,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0095",2,28,"ld0095_2",3.3322045101752,1.15460055699066,-5.03443871088841,0.285530602382586,3.2188758248682,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0095",2,32,"ld0095_2",3.46573590279973,1.15460055699066,-4.61311052722448,1.11314760048669,3.23474917402449,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0133",2,28,"ld0133_2",3.3322045101752,-0.68892556181833,-5.50570371718321,-0.640177539022728,3.09104245335832,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0133",2,32,"ld0133_2",3.46573590279973,-0.68892556181833,-4.68030254418454,0.981161995133972,3.09104245335832,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0140",2,32,"ld0140_2",3.46573590279973,-1.02163141574774,-4.83592172982305,0.675478472741662,3.09104245335832,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0140",2,28,"ld0140_2",3.3322045101752,-1.02163141574774,-5.64695243139064,-0.917633074567097,3.09104245335832,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0154",2,28,"ld0154_2",3.3322045101752,0.130906262043765,-5.08314760153878,0.189851491836329,3.09104245335832,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0154",2,32,"ld0154_2",3.46573590279973,0.130906262043765,-4.66057782744246,1.01990735205877,3.09104245335832,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0155",2,32,"ld0155_2",3.46573590279973,-0.609676691922707,-4.62682711343664,1.08620404355104,3.09104245335832,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0155",2,28,"ld0155_2",3.3322045101752,-0.609676691922707,-4.56207018010707,1.21340640229806,3.09104245335832,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0170",2,28,"ld0170_2",3.3322045101752,-0.531145016204281,-5.45529473770559,-0.541158935733576,3.09104245335832,3.29583686600433,-0.241163,0.154151,0.074108,0,-0.068992,-0.133531
"ld0170",2,32,"ld0170_2",3.46573590279973,-0.531145016204281,-4.55178127893142,1.23361694086382,3.09104245335832,3.29583686600433,0.374694,0.287682,0.207639,0.133531,0.064539,0
"ld0018",2,30,"ld0018_2",3.40119738166216,1.04446787602762,-4.65748884799065,1.02597504940311,3.16124671203156,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0042",2,30,"ld0042_2",3.40119738166216,1.33930700719965,-4.53887208881281,1.25897452573035,3.19458313229916,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0049",2,30,"ld0049_2",3.40119738166216,1.73955525455837,-4.99997907382779,0.353219834875557,3.17805383034795,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0089",2,30,"ld0089_2",3.40119738166216,0.926312921309986,-4.28036214089773,1.76676687233533,3.2188758248682,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0095",2,30,"ld0095_2",3.40119738166216,1.14171608403403,-5.0943628324272,0.167821359315399,3.16124671203156,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0133",2,30,"ld0133_2",3.40119738166216,-1.20555853304483,-5.13538728158626,0.0872368345237327,3.21084365317094,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0140",2,30,"ld0140_2",3.40119738166216,-0.399250884797238,-4.08573154101058,2.14908070526489,3.1267605359604,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0154",2,30,"ld0154_2",3.40119738166216,0.457868593550985,-4.9050662801757,0.539657496559903,3.19458313229916,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0155",2,30,"ld0155_2",3.40119738166216,-0.276920176058956,-4.39664228482524,1.53835722069627,3.1267605359604,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0170",2,30,"ld0170_2",3.40119738166216,-0.422381127568923,-4.54659330642426,1.24380770046428,3.16124671203156,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0018",2,26,"ld0018_2",3.25809653802148,0.779681782178723,-4.80261541109925,0.740902236422453,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0042",2,26,"ld0042_2",3.25809653802148,1.24426015401227,-5.13879354792014,0.0805458890154667,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0049",2,26,"ld0049_2",3.25809653802148,1.6183564835538,-5.21826407431513,-0.0755584520728074,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0089",2,26,"ld0089_2",3.25809653802148,0.589403722965308,-4.86244035740743,0.62338780374257,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0095",2,26,"ld0095_2",3.25809653802148,1.05098510573093,-5.38723448558375,-0.407467851834437,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0133",2,26,"ld0133_2",3.25809653802148,-0.768904846338523,-5.1686609218464,0.0218772613078462,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0140",2,26,"ld0140_2",3.25809653802148,-1.04648400822549,-4.9180070711616,0.514237837956229,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0154",2,26,"ld0154_2",3.25809653802148,0.174258679981658,-4.65125496301971,1.03822029993752,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0155",2,26,"ld0155_2",3.25809653802148,-0.704862556090431,-4.56353431475536,1.21053039549524,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0170",2,26,"ld0170_2",3.25809653802148,-0.712842042576433,-5.13458009952492,0.0888223861683311,3.3322045101752,3.17805383034795,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
"ld0011",3,30,"ld0011_3",3.40119738166216,-0.171277416374417,-5.32129391741495,-0.277940473422283,3.19867311755068,3.19867311755068,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0020",3,30,"ld0020_3",3.40119738166216,-0.34551888066328,-5.0003660537041,0.352459688424463,3.23867845216438,3.23867845216438,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0027",3,30,"ld0027_3",3.40119738166216,1.50162826125331,-4.71285517892896,0.917218696555481,3.3322045101752,3.3322045101752,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0042",3,30,"ld0042_3",3.40119738166216,1.2760582509416,-4.27131265043464,1.784542830417,3.2188758248682,3.2188758248682,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0051",3,30,"ld0051_3",3.40119738166216,0.779681782178723,-4.14671650129562,2.02928765149458,3.25809653802148,3.25809653802148,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0095",3,30,"ld0095_3",3.40119738166216,0.739257682948852,-4.97024617725403,0.411624308066338,3.23867845216438,3.23867845216438,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0140",3,30,"ld0140_3",3.40119738166216,-0.914751824714903,-4.83954532611601,0.668360624938936,3.51154543883102,3.51154543883102,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0146",3,30,"ld0146_3",3.40119738166216,0.0215680964066713,-4.68421750589111,0.973471816833751,3.17805383034795,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0150",3,30,"ld0150_3",3.40119738166216,1.04446787602762,-5.14796164992182,0.0625369417123022,3.31418600467253,3.31418600467253,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0170",3,30,"ld0170_3",3.40119738166216,-1.2564045238804,-4.3445979107901,1.64058823745997,3.17805383034795,3.17805383034795,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0011",3,22,"ld0011_3",3.09104245335832,-0.649210659809684,-6.04619447680988,-1.70186616401637,3.40119738166216,3.19867311755068,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0020",3,22,"ld0020_3",3.09104245335832,-0.360836962208546,-5.88090075201819,-1.37717889736377,3.40119738166216,3.23867845216438,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0027",3,22,"ld0027_3",3.09104245335832,1.2760582509416,-5.49755397968686,-0.624168970064884,3.40119738166216,3.3322045101752,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0042",3,22,"ld0042_3",3.09104245335832,0.939520977044187,-6.02966788995798,-1.66940290917229,3.40119738166216,3.2188758248682,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0051",3,22,"ld0051_3",3.09104245335832,0.28881731985812,-4.50108696572482,1.33319602658303,3.40119738166216,3.25809653802148,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0095",3,22,"ld0095_3",3.09104245335832,0.443906095056662,-5.86297705358256,-1.3419712894482,3.40119738166216,3.23867845216438,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0140",3,22,"ld0140_3",3.09104245335832,-1.12147172255982,-5.80287401480064,-1.22391059837109,3.40119738166216,3.51154543883102,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0146",3,22,"ld0146_3",3.09104245335832,-0.231487135406856,-4.61931525747698,1.10095961870735,3.40119738166216,3.17805383034795,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0150",3,22,"ld0150_3",3.09104245335832,0.998709701003173,-5.88795462273842,-1.39103484988925,3.40119738166216,3.31418600467253,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0170",3,22,"ld0170_3",3.09104245335832,-0.906584585578303,-6.63609588683599,-2.86061236964074,3.40119738166216,3.17805383034795,0,-0.087012,-0.167055,-0.241163,-0.310155,-0.374694
"ld0011",3,26,"ld0011_3",3.25809653802148,-0.776943467517424,-5.73705398347126,-1.09461999105823,3.19867311755068,3.29583686600433,0.167055,0.080043,0,-0.074108,-0.1431,-0.207639
