"id","samp_period","series","avg_mass","t_22","t_24","t_26","t_28","t_30","t_32","z.log.mass"
"ld0111",5,"ld0111_5",1.10633333333333,-1.54575719484199,0.404003828262536,-1.48248100641492,-0.521318202296376,0.148592012370216,-1.01572545383338,-0.56513620976729
"ld0111",6,"ld0111_6",1.09833333333333,-1.53202406105927,-1.01846220313124,0.580917721939963,0.0397725105964819,0.32743318385803,2.17337136096294,-0.626995751937712
"ld0111",7,"ld0111_7",1.06866666666667,-1.44999980057217,-1.4149637060849,-0.306962987544763,-0.499852688434539,0.0561342539066276,-0.34840975093403,-0.860392456093174
"ld0111",8,"ld0111_8",1.00633333333333,-1.75053833998193,-1.46563305496904,-1.04690049419949,-0.637566986983968,-0.288547077125599,0.414570490841408,-1.37265273711058
"ld0111",9,"ld0111_9",0.998333333333333,-1.32258978815266,-1.24451919057735,-1.14906431775318,-0.719378635852106,-0.388675468694844,-0.0988896425233501,-1.44068389575809
"ld0111",10,"ld0111_10",1.01933333333333,-1.82453423021622,-1.94549477978307,-0.467039538677616,-0.561017317579061,0.380435298368418,0.237707670263987,-1.26324725677522
"ld0115",1,"ld0115_1",1.401,-0.91937921726574,-1.03277185731191,-0.408348305060574,0.581268430472738,0.474443342634548,0.996646543478449,1.44760599995305
"ld0115",2,"ld0115_2",1.41,-0.603527550645846,0.298799511424179,0.0738004826498652,0.770347047163936,0.715681095428006,0.0788745299278886,1.50218692500492
"ld0115",3,"ld0115_3",1.20266666666667,NA,1.52881860043993,0.0751755996689563,NA,NA,0.442800498879447,0.146507427681684
"ld0115",4,"ld0115_4",1.309,-0.600445010605467,-0.21705778551017,0.0622137696231506,1.70167704404391,1.64873508141944,1.22304018050436,0.868653139571466
"ld0115",5,"ld0115_5",1.303,-0.477707143664591,-0.31819026970573,-0.17190931886394,0.244287424630755,1.1663802951178,0.0728975491697892,0.829493689361754
"ld0115",6,"ld0115_6",1.26566666666667,-0.948165028537161,-1.91116239087133,0.29808966509078,0.174871742668751,1.86558500313452,1.74204287406161,0.581707358311044
"ld0115",7,"ld0115_7",1.184,-0.519583992157138,-1.16361999470967,-0.0703716181840676,-0.376576734140076,1.43040634337081,0.217175698953308,0.0131732138538255
"ld0115",8,"ld0115_8",1.15033333333333,-1.41263007609824,NA,-0.309811906022836,0.190636060787305,0.795681483553248,NA,-0.232707862802226
"ld0115",9,"ld0115_9",1.15433333333333,-0.714485228687668,-0.801099637027654,0.40541719740036,0.164204489095317,1.58852727961243,1.56507808753793,-0.203120241527395
"ld0115",10,"ld0115_10",1.11733333333333,-1.15691373901471,-1.03100634001027,-0.0986676382245965,0.731590480529975,0.374625309614883,1.67927477730059,-0.48080578538273
"ld0118",1,"ld0118_1",1.51433333333333,NA,2.38799617983924,-0.573090069333804,NA,0.50585211321814,NA,2.11065573935288
"ld0118",2,"ld0118_2",1.387,-0.857255049742841,0.710275878979233,-0.123235324304177,0.331423187034611,0.716483036760807,0.734132510126448,1.36200148698776
"ld0118",3,"ld0118_3",1.359,-1.36602599381692,-0.388403292512862,-0.188528529205328,-0.869949227108412,-0.134479605647439,0.614932738356581,1.18816925973113
"ld0118",4,"ld0118_4",1.36133333333333,-2.03052525456257,-0.299206387671954,-0.332016340816156,-1.99917149969891,0.626231747795958,0.725558062191453,1.20279145276061
"ld0118",5,"ld0118_5",1.391,-0.464835668203672,0.30881906242314,-0.354702867747263,-0.0184639467781964,0.634889753458546,0.180180699921113,1.38654777321996
"ld0118",6,"ld0118_6",1.31033333333333,-1.03987116714364,0.532321036590168,-1.38039361528163,-1.11722396667024,0.296610994314161,0.85140099633912,0.877330861882187
"ld0118",7,"ld0118_7",1.273,-1.44304454380359,-0.807835314926077,-0.475593077272832,NA,0.404684371613885,0.893100386486179,0.63095151420893
"ld0118",8,"ld0118_8",1.304,-0.990050788720392,-0.665002072224189,0.230028730514585,NA,0.788628843265467,0.920237506733849,0.836032770621088
"ld0118",9,"ld0118_9",1.23866666666667,-1.05599759367767,-1.09476072774284,-0.490934111125104,0.12621657099621,0.231167224600282,0.404278232622332,0.397907064200705
"ld0118",10,"ld0118_10",1.23433333333333,-1.37610989899022,-1.24656849298026,-0.532165190735625,NA,0.227378378072218,0.28556771647553,0.368035623452847
"ld0119",1,"ld0119_1",1.23966666666667,-1.01399915852391,-0.548727141757566,0.147806001705543,-0.365001636285992,0.502709695772793,0.55792614920848,0.404785632431565
"ld0119",2,"ld0119_2",1.20833333333333,-1.60603657619605,-0.848170415789933,0.304072454641259,0.208867237278117,1.07446966012378,1.0521581843178,0.186574628256553
"ld0119",3,"ld0119_3",1.20433333333333,0.248014301462331,0.355542479236143,-0.0230644095986802,1.29306872628772,1.36736828829754,1.17813940027183,0.158311462255466
"ld0119",4,"ld0119_4",1.15933333333333,-0.220179222422482,0.200034720973692,-0.121344691044537,0.942897738617335,0.109170068219442,0.097420498838958,-0.166279561772016
"ld0119",5,"ld0119_5",1.217,-1.00812207137259,-0.302939576043875,-0.943071216779888,-0.19438677968411,0.546194421167191,-1.16321114375232,0.247491872725827
"ld0119",6,"ld0119_6",1.23633333333333,0.158413394955019,-0.425047054862909,-0.769260940478229,1.21554124269962,1.60723150907287,0.746653248907917,0.381835451621195
"ld0119",7,"ld0119_7",1.168,-0.760440811869296,-0.926147288973967,0.3021285874424,-0.189393338192976,0.741821923256482,-0.281514618587246,-0.102797173776331
"ld0119",8,"ld0119_8",1.19133333333333,-1.05216326075446,NA,-2.1981209639947,0.0360570403706989,0.482429548001349,NA,0.0658035309619157
"ld0119",9,"ld0119_9",1.17866666666667,-0.610547903008454,-0.0136373861886248,-8.2542804320432e-05,-0.258430521033173,0.762242777389372,0.29590906099358,-0.0253085309823816
"ld0119",10,"ld0119_10",1.23866666666667,0.575235626168494,-0.839656179743606,-0.320205535003182,-0.0480933935466526,-0.223168403457053,1.26727471320724,0.397907064200705
"ld0128",1,"ld0128_1",1.52966666666667,-0.664000225558132,NA,-0.0240264195232087,NA,0.377342404734229,0.415967527053604,2.19652808899551
"ld0128",2,"ld0128_2",1.20266666666667,-0.887440691230017,-0.757396657591513,0.0668898471977334,0.0784189150252804,0.41981003835157,1.36577085469391,0.146507427681684
"ld0128",3,"ld0128_3",1.16866666666667,-1.59101949221941,-1.8077954770287,0.288495708376278,-0.0855239326568447,1.04981169491825,0.391235817761186,-0.0979334406894445
