"id","site","samp_period","series","obs","date","batch","ch_num","incb_num","incb_temp_id","incb_temp","prior_temp_1","prior_temp_2","prior_temp_3","prior_temp_4","body_temp","co2_samp_control","co2_samp_1","co2_samp_2","defecate","air_collect_notes","fms_notes","co2_warthog_notes","co2_samp_1_correct","co2_samp_2_correct","frac_co2","lizmass","total_air","total_co2","co2_pmin","z.incb_temp","z.body_temp","log.mass","z.log.mass","log.co2pmin","z.log.co2pmin","z.prior_temp_1","z.prior_temp_2","z.log.prior_temp_1","z.prior_temp_3","z.prior_temp_4","z.log.prior_temp_2","z.log.prior_temp_3","z.log.prior_temp_4","z.log.temp"
"ld0051","SP",1,"ld0051_1",610,"27/12/2016",1,1,1,1,32,28,27,27,25,27,0.00213,0.0126057,0.013316,NA,"","","",0.0104757,0.011186,0.011186,1.336,144.994,1.621902884,0.018021143,1.454090674,1.607534008,0.289680075,1.078393263,-4.016209599,2.150658222,0.334073193884939,0.405103300956526,0.388942136013244,0.481366091616486,-0.445166719585535,0.464944026062004,0.542011636206725,-0.411342771589956,1.39167800608564
"ld0042","UNSWKen",1,"ld0042_1",428,"27/12/2016",1,2,1,1,32,28,28,28,25,28,0.00101,0.0106154,0.0086115,NA,"","","",0.0096054,0.0076015,0.0096054,1.433,144.897,1.391793644,0.015464374,1.454090674,2.20640794,0.359770149,1.691111876,-4.169216352,1.867353692,0.334073193884939,0.735085298330751,0.388942136013244,0.815343565468831,-0.445166719585535,0.78282438087249,0.862967320328408,-0.411342771589956,1.39167800608564
"ld0170","UNSWKen",1,"ld0170_1",2377,"27/12/2016",1,3,1,1,32,28,28.5,28.5,25,28.5,0.00126,0.0079801,0.00724,NA,"","","",0.0067201,0.00598,0.0067201,1.116,145.214,0.975852601,0.010723655,1.454090674,2.505844906,0.109750864,-0.49452528,-4.53530323,1.189513865,0.334073193884939,0.900076297017864,0.388942136013244,0.982332302395003,-0.445166719585535,0.937531895660019,1.01917155093272,-0.411342771589956,1.39167800608564
"ld0133","MP",1,"ld0133_1",1699,"27/12/2016",1,4,1,1,32,28,23.5,23.5,25,23.5,0.000371,0.0089228,0.00776,NA,"","","",0.0085518,0.007389,0.0085518,1.112,145.218,1.241875292,0.013646981,1.454090674,-0.488524755,0.106160196,-0.525914449,-4.294236954,1.635867812,0.334073193884939,-0.749833689853264,0.388942136013244,-0.68755506686672,-0.445166719585535,-0.748590129285599,-0.683262839363888,-0.411342771589956,1.39167800608564
"ld0146","UNSWKen",1,"ld0146_1",2072,"27/12/2016",1,5,1,1,32,28,29,29,25,29,0.00125,0.0087991,0.0087071,NA,"FS","","",0.0075491,0.0074571,0.0075491,1.237,145.093,1.095321566,0.012036501,1.454090674,2.805281872,0.212689093,0.40534778,-4.419811496,1.403356266,0.334073193884939,1.06506729570498,0.388942136013244,1.14932103932118,-0.445166719585535,1.08954870813338,1.17265904805871,-0.411342771589956,1.39167800608564
"ld0020","UNSWKen",1,"ld0020_1",328,"27/12/2016",1,6,1,1,32,28,28,28,25,28,0.00146,0.0100734,0.0096243,NA,"","","",0.0086134,0.0081643,0.0086134,1.228,145.102,1.249821567,0.013734303,1.454090674,2.20640794,0.20538683,0.341512309,-4.287858707,1.647677658,0.334073193884939,0.735085298330751,0.388942136013244,0.815343565468831,-0.445166719585535,0.78282438087249,0.862967320328408,-0.411342771589956,1.39167800608564
"ld0154","Maroubra",1,"ld0154_1",2256,"27/12/2016",1,7,1,1,32,28,27,27,25,27,0.000708,0.0083427,0.0095192,NA,"","","",0.0076347,0.0088112,0.0088112,1.229,145.101,1.278513931,0.013896891,1.454090674,1.607534008,0.206200831,0.348628202,-4.276090133,1.669468137,0.334073193884939,0.405103300956526,0.388942136013244,0.481366091616486,-0.445166719585535,0.464944026062004,0.542011636206725,-0.411342771589956,1.39167800608564
"ld0118","SP",1,"ld0118_1",1522,"27/12/2016",1,8,1,1,32,28,29,29,25,29,0.000364,0.0158201,0.0150391,NA,"","","MultiPCO2BL",0.0154561,0.0146751,0.0154561,1.446,144.884,2.239341592,0.024608149,1.454090674,2.805281872,0.368801124,1.770059523,-3.704677631,2.727485167,0.334073193884939,1.06506729570498,0.388942136013244,1.14932103932118,-0.445166719585535,1.08954870813338,1.17265904805871,-0.411342771589956,1.39167800608564
"ld0150","UNSWKen",1,"ld0150_1",2135,"27/12/2016",1,9,1,1,32,28,29.5,29.5,25,29.5,NA,0.00551,0.00263,NA,"","","",0.00551,0.00263,0.00551,1.36,144.97,0.7987847,0.008682442,1.454090674,3.104718838,0.3074847,1.234039053,-4.746452453,0.798553791,0.334073193884939,1.23005829439209,0.388942136013244,1.31630977624735,-0.445166719585535,1.23896681495401,1.32352269838833,-0.411342771589956,1.39167800608564
"ld0140","MP",1,"ld0140_1",1884,"27/12/2016",1,10,1,1,32,28,27,27,25,27,0.000307,0.0092815,0.008436,NA,"","","",0.0089745,0.008129,0.0089745,1.119,145.211,1.30319612,0.014165175,1.454090674,1.607534008,0.112435429,-0.471057147,-4.256968791,1.704872866,0.334073193884939,0.405103300956526,0.388942136013244,0.481366091616486,-0.445166719585535,0.464944026062004,0.542011636206725,-0.411342771589956,1.39167800608564
