date,samp_period,batch,ch_num,incb_num,incb_temp_id,incb_temp,id,tc,key,body_temp,ch_mass,ch_lizmass,t_flush,t_samp,t_diff,ch_vol,co2_samp_control,co2_samp_1,co2_samp_2,defecate,air_collect_notes,fms_notes,co2_warthog_notes,,,
28/12/16,1,1,10,1,2,30,ld0140,tc0325,J,22,16.623,17.705,11:49,13:15,86,146.33,8.05E-04,5.21E-03,4.76E-03,,,,,,,
28/12/16,1,1,11,2,2,22,ld0011,tc0015,K,22.5,15.845,17.032,11:57,13:27,90,146.33,1.00E-03,2.03E-03,3.49E-03,,,,,,,
28/12/16,1,1,12,2,2,22,ld0018,tc0A30,L,22.5,16.600,17.870,11:59,13:29,90,146.33,9.95E-04,1.47E-03,3.30E-03,,,,,,,
28/12/16,1,1,13,2,2,22,ld0105,tc0230,M,23,16.610,17.924,12:00,13:31,91,146.33,7.74E-04,2.28E-03,2.80E-03,,,,,,,
28/12/16,1,1,14,2,2,22,ld0002,tc0002,N,24.5,16.947,18.014,12:02,13:32,90,146.33,5.91E-04,1.93E-03,6.18E-04,,,,,,,
28/12/16,1,1,15,2,2,22,ld0095,tc0214,O,22,16.660,18.006,12:03,13:34,91,146.33,7.71E-04,5.55E-04,2.44E-03,1,,,,,,
28/12/16,1,1,16,2,2,22,ld0088,tc0203,P,27.5,16.662,17.974,12:05,13:36,91,146.33,6.40E-04,NA,3.19E-03,,,,BadCO2S1,,,
28/12/16,1,1,17,2,2,22,ld0142,tc0331,Q,26.5,16.461,17.479,12:07,13:38,91,146.33,6.83E-04,1.48E-03,2.05E-03,1,,,,,,
28/12/16,1,1,18,2,2,22,ld0049,tc01(12)0,R,22.5,16.631,18.015,12:08,13:39,91,146.33,6.65E-04,2.62E-03,1.78E-03,,,,,,,
28/12/16,1,1,19,2,2,22,ld0027,tc0043,S,26.5,16.280,17.788,12:10,13:41,91,146.33,4.80E-04,2.74E-03,2.08E-03,,,,,,,
28/12/16,1,1,20,2,2,22,ld0155,tc1342,T,23.5,16.527,17.560,12:12,13:43,91,146.33,1.23E-03,2.11E-03,2.96E-04,,,,,,,
28/12/16,1,1,21,2,2,22,ld0089,tc0204,U,23,16.460,17.675,12:13,13:45,92,146.33,1.47E-03,4.05E-03,3.82E-03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/16,1,2,1,1,1,22,ld0175,tc0234,A,26,18.022,19.321,08:05,09:35,90,146.33,6.05E-04,1.40E-03,2.96E-03,,,,,,,
29/11/16,1,2,2,1,1,22,ld0104,tc0225,B,26,17.383,18.808,08:07,09:37,90,146.33,7.90E-04,6.94E-03,5.79E-03,,,,,,,
29/11/16,1,2,3,1,1,22,ld0043,tc0104,C,27,17.719,18.851,08:08,09:38,90,146.33,4.78E-04,2.66E-03,3.61E-03,,,,,,,
29/11/16,1,2,4,1,1,22,ld0076,tc0150,D,25.5,17.243,18.684,08:10,09:40,90,146.33,4.38E-04,4.22E-03,9.26E-04,,,,,,,
29/11/16,1,2,5,1,1,22,ld0128,tc0305,E,30,17.584,18.810,08:12,09:42,90,146.33,4.22E-04,2.18E-04,2.49E-03,,,,,,,
29/11/16,1,2,6,1,1,22,ld0138,tc0323,F,28,17.672,18.777,08:13,09:44,91,146.33,1.79E-03,3.22E-04,4.94E-04,,FSBL,Maybe Badcco2BL,,,,
29/11/16,1,2,7,1,1,22,ld0171,tc0311,G,25.5,17.453,18.716,08:15,09:45,90,146.33,7.32E-04,6.52E-03,6.54E-03,1,,LostS2,,,,
29/11/16,1,2,8,1,1,22,ld0111,tc0242,H,28,17.580,18.702,08:17,09:46,89,146.33,1.76E-04,2.97E-03,2.98E-03,1,,,,,,
29/11/16,1,2,9,1,1,22,ld0119,tc0252,I,28,17.667,18.920,08:18,09:48,90,146.33,3.06E-04,1.70E-03,2.39E-03,,,,,,,
29/11/16,1,2,10,1,1,22,ld0092,tc0212,J,26,17.642,19.144,08:20,09:50,90,146.33,6.32E-04,4.95E-03,3.04E-03,,,,,,,
29/11/16,1,2,11,2,1,22,ld0077,tc0151,K,28,16.851,18.354,09:05,10:35,90,146.33,6.04E-04,3.31E-03,3.98E-03,1,,"LostS1,S2",,,,
29/11/16,1,2,12,2,1,22,ld0013,tc0021,L,27.5,17.612,18.722,09:07,10:37,90,146.33,8.74E-04,3.88E-03,2.73E-03,,,,,,,
29/11/16,1,2,13,2,1,22,ld0075,tc0145,M,25.5,17.624,18.695,09:08,10:39,91,146.33,7.90E-04,3.00E-03,2.98E-03,,,,,,,
29/11/16,1,2,14,2,1,22,ld0006,tc0010,N,27.5,17.928,19.032,09:10,10:41,91,146.33,1.01E-03,1.96E-03,2.61E-03,,,,,,,
29/11/16,1,2,15,2,1,22,ld0143,tc0333,O,27,17.661,19.040,09:11,10:42,91,146.33,1.14E-03,3.88E-03,3.22E-03,1,,,,,,
29/11/16,1,2,16,2,1,22,ld0069,tc0142,P,27.5,17.890,19.360,09:13,10:44,91,146.33,1.85E-03,0.0131041,0.0121034,1,,,,,,
29/11/16,1,2,17,2,1,22,ld0137,tc0322,Q,27.5,17.472,18.913,09:15,10:45,90,146.33,3.54E-04,0.0091998,0.0082183,,,,,,,
29/11/16,1,2,18,2,1,22,ld0065,tc0134,R,27,17.631,18.772,09:17,10:48,91,146.33,7.46E-04,7.54E-03,6.65E-03,,,,,,,
29/11/16,1,2,19,2,1,22,ld0153,tc0350,S,25,17.291,18.271,09:18,10:49,91,146.33,7.15E-04,5.89E-03,6.26E-03,,,,,,,
29/11/16,1,2,20,2,1,22,ld0107,tc0232,T,28.5,17.542,18.785,09:20,10:51,91,146.33,8.47E-04,2.92E-03,2.28E-03,,,,,,,
29/11/16,1,2,21,2,1,22,ld0115,tc0244,U,26.5,17.490,18.909,09:21,10:53,92,146.33,3.42E-04,1.83E-03,2.58E-03,,,,,,,
29/11/16,1,2,1,1,2,26,ld0175,tc0234,A,26,18.022,19.321,10:55,12:25,90,146.33,7.36E-04,2.96E-03,2.21E-03,,,,,,,
29/11/16,1,2,2,1,2,26,ld0104,tc0225,B,26,17.383,18.808,10:57,12:27,90,146.33,6.17E-04,3.22E-03,6.14E-03,,,,"BadCO2BL, vDiffCO2S",,,
29/11/16,1,2,3,1,2,26,ld0043,tc0104,C,27,17.719,18.851,10:59,12:28,89,146.33,6.06E-04,4.13E-03,2.78E-03,,,,,,,
29/11/16,1,2,4,1,2,26,ld0076,tc0150,D,25.5,17.243,18.684,11:00,12:30,90,146.33,4.66E-04,4.15E-03,4.02E-03,,,,,,,
29/11/16,1,2,5,1,2,26,ld0128,tc0305,E,30,17.584,18.810,11:02,12:32,90,146.33,4.01E-04,3.85E-03,3.22E-03,,,,,,,
29/11/16,1,2,6,1,2,26,ld0138,tc0323,F,28,17.672,18.777,11:05,12:33,88,146.33,5.18E-04,3.38E-03,2.72E-03,,"FSBL, FST2S2",,,,,
29/11/16,1,2,7,1,2,26,ld0171,tc0311,G,25.5,17.453,18.716,11:06,12:35,89,146.33,7.24E-04,4.96E-03,6.52E-04,1,,LostS2,,,,
29/11/16,1,2,8,1,2,26,ld0111,tc0242,H,28,17.580,18.702,11:07,12:36,89,146.33,4.39E-04,2.68E-03,3.77E-03,1,,,,,,
29/11/16,1,2,9,1,2,26,ld0119,tc0252,I,28,17.667,18.920,11:08,12:38,90,146.33,2.35E-04,4.00E-03,3.81E-03,,,,,,,
29/11/16,1,2,10,1,2,26,ld0092,tc0212,J,26,17.642,19.144,11:09,12:40,91,146.33,5.08E-04,5.33E-03,5.41E-03,,,,,,,
29/11/16,1,2,11,2,2,28,ld0077,tc0151,K,28,16.851,18.354,11:47,13:17,90,146.33,NA,NA,NA,1,,"LostS1,S2","MessyComp, MultiCO2S2",,,
29/11/16,1,2,12,2,2,28,ld0013,tc0021,L,27.5,17.612,18.722,11:48,13:19,91,146.33,1.86E-04,8.37E-04,3.57E-03,,,,,,,
29/11/16,1,2,13,2,2,28,ld0075,tc0145,M,25.5,17.624,18.695,11:50,13:21,91,146.33,NA,3.73E-03,4.07E-03,,,,,,,
