"id","date","samp_period","series","batch","incb_temp","log.temp","log.prior_temp","orig_lizmass","log.mass","z.log.mass","orig_co2_pmin","log.co2pmin","log.temp_22cen","log.temp_24cen","log.temp_26cen","log.temp_28cen","log.temp_30cen","log.temp_32cen"
"ld0006","16/1/2017",5,"ld0006_5",2,30,3.40119738166216,3.3322045101752,1.111,0.105260510657493,-0.523330796007559,0.007027961,-4.95785865790433,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0013","16/1/2017",5,"ld0013_5",2,30,3.40119738166216,3.3322045101752,1.063,0.0610950993598108,-0.906584585578303,0.007726289,-4.86312660927663,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0043","16/1/2017",5,"ld0043_5",2,30,3.40119738166216,3.3322045101752,1.09,0.0861776962410524,-0.68892556181833,0.005873442,-5.13731444561076,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0076","16/1/2017",5,"ld0076_5",2,30,3.40119738166216,3.3322045101752,1.348,0.298622012490115,1.15460055699066,0.00728454,-4.92200098477404,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0092","16/1/2017",5,"ld0092_5",2,30,3.40119738166216,3.3322045101752,1.401,0.33718626735487,1.48924924211827,0.016124801,-4.12739675746172,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0107","16/1/2017",5,"ld0107_5",2,30,3.40119738166216,3.3322045101752,1.249,0.222343231143441,0.492676867026398,0.00985906,-4.61936444959783,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0111","16/1/2017",5,"ld0111_5",2,30,3.40119738166216,3.3322045101752,1.125,0.117783035656383,-0.414664194252828,0.006071484,-5.10415222273699,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0115","16/1/2017",5,"ld0115_5",2,30,3.40119738166216,3.3322045101752,1.324,0.280657457514817,0.998709701003173,0.010193444,-4.58601051043913,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0119","16/1/2017",5,"ld0119_5",2,30,3.40119738166216,3.3322045101752,1.236,0.211880359035499,0.401883296507264,0.007433649,-4.90173842371813,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0153","16/1/2017",5,"ld0153_5",2,30,3.40119738166216,3.3322045101752,0.987,-0.0130852395486555,-1.55029864060407,0.009742773,-4.63122949958896,0.310155,0.223143,0.1431,0.068992,0,-0.064539
"ld0006","17/1/2017",5,"ld0006_5",2,24,3.17805383034795,3.23867845216438,1.109,0.10345870836823,-0.5389662794125,0.003212416,-5.74073197696258,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0013","17/1/2017",5,"ld0013_5",2,24,3.17805383034795,3.23867845216438,1.041,0.0401817896328318,-1.08806382396484,0.004502362,-5.40315313102296,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0043","17/1/2017",5,"ld0043_5",2,24,3.17805383034795,3.2188758248682,1.074,0.071389996086673,-0.817248653502053,0.003779884,-5.57806195765221,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0076","17/1/2017",5,"ld0076_5",2,24,3.17805383034795,3.2188758248682,1.341,0.293415604299541,1.1094209557946,0.006597,-5.0211402787414,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0092","17/1/2017",5,"ld0092_5",2,24,3.17805383034795,3.19867311755068,1.408,0.342170257735851,1.53249877030267,0.011004411,-4.50945908656278,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0107","17/1/2017",5,"ld0107_5",2,24,3.17805383034795,3.19867311755068,1.216,0.195566783543975,0.260319130231674,0.003223143,-5.73739830853241,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0111","17/1/2017",5,"ld0111_5",2,24,3.17805383034795,3.27714473299218,1.1,0.0953101798043249,-0.609676691922707,0.006914562,-4.9741256564355,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0115","17/1/2017",5,"ld0115_5",2,24,3.17805383034795,3.2188758248682,1.308,0.268499253035007,0.893204560116881,0.00478732,-5.34178452309342,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0119","17/1/2017",5,"ld0119_5",2,24,3.17805383034795,3.23867845216438,1.204,0.185649346886629,0.174258679981658,0.004824633,-5.33402060926023,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
"ld0153","17/1/2017",5,"ld0153_5",2,24,3.17805383034795,3.17805383034795,0.962,-0.0387408283164306,-1.77292991086769,0.003162952,-5.7562495102401,0.087012,0,-0.080043,-0.154151,-0.223143,-0.287682
