period,batch,chamber,id,tc,incubator,encl_id
2,2,2,ld0006,tc0010,1,e031
2,2,3,ld0104,tc0225,1,e027
2,2,4,ld0138,tc0323,1,e020
2,2,5,ld0092,tc0212,1,e009
2,2,6,ld0115,tc0244,1,e041
2,2,7,ld0128,tc0305,1,e034
2,2,8,ld0143,tc0333,1,e046
2,2,9,ld0077,tc0151,1,e032
2,2,10,ld0137,tc0322,1,e001
2,2,11,ld0013,tc0021,2,e044
2,2,12,ld0111,tc0242,2,e026
2,2,13,ld0107,tc0232,2,e045
2,2,14,ld0119,tc0252,2,e018
2,2,15,ld0075,tc0145,2,e002
2,2,16,ld0153,tc0350,2,e049
2,2,17,ld0043,tc0104,2,e028
2,2,18,ld0069,tc0142,2,e024
2,2,19,ld0065,tc0134,2,e036
2,2,20,ld0076,tc0150,2,e025
2,2,21,ld0171,tc0311,2,e053
3,1,1,ld0140,tc0325,1,e021
3,1,2,ld0020,tc0032,1,e014
3,1,3,ld0146,tc0340,1,e013
3,1,4,ld0150,tc0344,1,e017
3,1,5,ld0051,tc0140,1,e003
3,1,6,ld0095,tc0214,1,e043
3,1,7,ld0011,tc0015,1,e029
3,1,8,ld0027,tc0043,1,e038
3,1,9,ld0042,tc0103,1,e022
3,1,10,ld0170,tc0415,1,e052
3,1,11,ld0002,tc0002,2,e005
3,1,12,ld0154,tc02(A)0,2,e040
3,1,13,ld0118,tc0251,2,e042
3,1,14,ld0155,tc1342,2,e008
3,1,15,ld0018,tc0A30,2,e011
3,1,16,ld0049,tc01(12)0,2,e033
3,1,17,ld0105,tc0230,2,e048
3,1,18,ld0133,tc0314,2,e015
3,1,19,ld0142,tc0331,2,e007
3,1,20,ld0089,tc0204,2,e023
3,1,21,ld0088,tc0203,2,e041
3,2,1,ld0153,tc0350,1,e049
3,2,2,ld0128,tc0305,1,e034
3,2,3,ld0006,tc0010,1,e031
3,2,4,ld0092,tc0212,1,e009
3,2,5,ld0111,tc0242,1,e026
3,2,6,ld0076,tc0150,1,e025
3,2,7,ld0171,tc0311,1,e053
3,2,8,ld0138,tc0323,1,e020
3,2,9,ld0069,tc0142,1,e024
3,2,10,ld0043,tc0104,1,e028
3,2,11,ld0107,tc0232,2,e045
3,2,12,ld0175,tc0234,2,e013
3,2,13,ld0137,tc0322,2,e001
3,2,14,ld0075,tc0145,2,e002
3,2,15,ld0013,tc0021,2,e044
3,2,16,ld0065,tc0134,2,e036
3,2,17,ld0104,tc0225,2,e027
3,2,18,ld0077,tc0151,2,e032
3,2,19,ld0119,tc0252,2,e018
