"id","series","samp_period","t_22","t_24","t_26","t_28","t_30","t_32","zlogmass.22","zlogmass.24","zlogmass.26","zlogmass.28","zlogmass.30","zlogmass.32","prior_temp22","prior_temp24","prior_temp26","prior_temp28","prior_temp30","prior_temp32"
"ld0128","ld0128_3",3,-5.98976399386862,-6.10012160149496,-5.03292921709412,-5.22333736044075,-4.64535394672287,-4.98062567115954,-0.5389662794125,-0.406954117386605,0.644195955152066,-0.5389662794125,0.644195955152066,-0.406954117386605,22.5,25,28.5,22,32,26
"ld0128","ld0128_4",4,-5.98675405889804,-5.01614685488142,-5.43891411727875,-5.40499741907851,-5.11507456756134,-4.98334590969667,-0.307341560211187,-0.246605067701096,-0.246605067701096,-0.208859506048355,-0.208859506048355,-0.307341560211187,32,30,23.5,24,26,25
"ld0128","ld0128_5",5,-5.55056485856899,-5.14932269899365,-5.12217905333201,-5.23502787512342,-5.06576303585297,-4.65753974354965,-0.0225558509087076,-0.104037115690907,-0.104037115690907,-0.26174938383471,-0.26174938383471,-0.0225558509087076,23.5,22,25,30,23,24
"ld0128","ld0128_6",6,-5.95734180656303,-4.56995894233349,-5.9408246661485,-5.42144681885344,-5.29652716990668,-4.90549706814295,-0.6412894443422,-0.461069069234886,-0.430104929540413,-0.430104929540413,-0.6412894443422,-0.461069069234886,24.5,28,24,24.5,22,25.5
"ld0128","ld0128_7",7,-6.62038625552508,-5.90884031290478,-5.34964918799353,-5.47872667285893,-5.27740927207454,-5.23260022775321,-0.633375452966432,-0.414664194252828,-0.414664194252828,-0.633375452966432,-0.609676691922707,-0.609676691922707,23,23,30,22,24,23
"ld0128","ld0128_8",8,-5.84165929499096,-5.97197294856839,-5.78004157421098,-5.50416658075622,-5.4114549341192,-5.06919078928238,-0.383864903918844,-0.437835612405437,-0.383864903918844,-0.6412894443422,-0.6412894443422,-0.437835612405437,23,22,24,30,24,26
"ld0128","ld0128_9",9,-5.70851153907532,-5.43313919142223,-5.4035218943726,-5.24272638048143,-5.09683897917501,-4.84515373751522,-0.57817868658838,-0.49214409238775,-0.657139112569601,-0.49214409238775,-0.657139112569601,-0.57817868658838,24,32,30,21.5,22,22
"ld0133","ld0133_10",10,-5.70686050694095,-5.89020302084058,-5.72294878044786,-5.4929876560629,-5.33375948359575,-4.8500334109582,-0.801104107557677,-0.857741918497038,-0.882128888014531,-0.801104107557677,-0.857741918497038,-0.882128888014531,26,30,28,24,23.5,24
"ld0133","ld0133_2",2,-6.0397728274021,-5.67262165535863,-5.1686609218464,-5.50570371718321,-5.13538728158626,-4.68030254418454,-0.768904846338523,-1.20555853304483,-0.768904846338523,-0.68892556181833,-1.20555853304483,-0.68892556181833,24,24,28,22,24.8,22
"ld0133","ld0133_3",3,-5.84169373060841,-5.78768421884214,-5.39435282930647,-5.26609551143979,-4.05199210425872,-4.96968953123562,-0.34551888066328,-0.34551888066328,-0.531145016204281,-0.609676691922707,-0.609676691922707,-0.531145016204281,25.5,28,32,22,24.5,25.8
"ld0133","ld0133_4",4,-5.75028746183259,-5.57380186611066,-5.66565842030573,-5.42479688220721,-4.52866285887572,-4.76134808590485,-0.507723433990825,-0.399250884797238,-0.507723433990825,-0.922926757907411,-0.922926757907411,-0.399250884797238,24.5,26,32,25,28,28
"ld0133","ld0133_5",5,-6.17548594781835,-5.36171307427901,-5.59261863092871,-5.15930457428098,-5.03264642133411,-4.75693153919762,0.345534456027045,0.0727640616705094,0.0727640616705094,0.116407192769115,0.345534456027045,0.116407192769115,26,26,26,22,28,25.5
"ld0133","ld0133_6",6,-6.08699311075632,-5.76691654250017,-5.60630664157269,-5.56824885033603,-4.98476566714206,-5.15689749494955,0.799823433640101,-0.208859506048355,-0.208859506048355,-0.515523606149344,-0.515523606149344,0.799823433640101,24,23.5,22,24,28,24
"ld0133","ld0133_7",7,-6.23103630548366,-5.33048256448977,-5.85390189095602,-5.80048623504303,-5.13210791541044,-5.13461405870328,-0.817248653502053,-0.78498954221726,-0.445573188434875,-0.78498954221726,-0.445573188434875,-0.817248653502053,26,25.5,28,30,25.5,22
"ld0133","ld0133_8",8,-5.84152845045818,-5.64927298278094,-5.51057958488252,-5.2571842524305,-5.30393612223283,-5.05737319060832,-0.531145016204281,-0.307341560211187,-0.141328496424409,-0.141328496424409,-0.307341560211187,-0.531145016204281,23.5,26,23,24,21.5,22
"ld0133","ld0133_9",9,-5.8927322295024,-5.90810181834716,-5.4286420205449,-5.32529419096502,-5.046241539316,-4.71368255240201,-0.633375452966432,-0.57817868658838,-0.57817868658838,-0.633375452966432,-0.570322017023104,-0.570322017023104,24,28,23,23,23.5,30
"ld0137","ld0137_1",1,-4.25165423642217,-5.35183587172386,-4.92859854507604,-4.74158137840127,-4.82697151348784,-4.71055659086993,1.73353535078447,1.34560660162664,1.50781115495418,1.73353535078447,1.50781115495418,1.34560660162664,27.5,25,22,26,25.5,24
"ld0137","ld0137_10",10,-5.70767694828366,-5.58432164727984,-4.8638506340468,-5.04489620343662,-4.11583904229441,-4.54119438564817,0.603134249472478,0.408901243466458,0.806526941846828,0.408901243466458,0.806526941846828,0.603134249472478,26,23.5,24,24,22,23.5
"ld0137","ld0137_2",2,-5.65950705806819,-5.10455533559073,-5.12680013348872,-4.49196338310845,-4.49802037207957,-3.72803209278434,1.60002977992662,1.3203807381005,1.28874493586517,1.28874493586517,1.3203807381005,1.60002977992662,25.5,24.5,22,24.5,24,26
"ld0137","ld0137_3",3,-4.24492499298014,-4.54222524642743,-5.30980975175611,-4.67720543080296,-4.22762983656478,-4.16970811921574,1.08998602954746,0.513495008019687,0.886567702476291,1.08998602954746,0.886567702476291,0.513495008019687,25,25.5,22,32,26,22
"ld0137","ld0137_4",4,-4.81961505577207,-4.72446184654698,-5.17352093788432,-5.03676851135943,-5.10973064362537,-4.90083402818153,0.671462877640307,1.05098510573093,1.05098510573093,0.992153077387831,0.992153077387831,0.671462877640307,32,30,24.5,24,26,24.5
"ld0137","ld0137_5",5,-5.91156301863053,-5.76199830618876,-5.66740503053335,-5.0979254008365,-5.23108030225545,-4.57811130205654,1.3266940820982,1.20594799048994,1.20594799048994,1.23788652835514,1.23788652835514,1.3266940820982,23.5,22,25,30,23.5,24
"ld0137","ld0137_6",6,-5.57502837514646,-5.50181859753219,-4.83480538754295,-5.05146978869464,-4.89422172907019,-4.52328692701491,0.873278739784166,0.985591496022592,1.15460055699066,1.15460055699066,0.873278739784166,0.985591496022592,24.5,28,24,24,22,25
"ld0137","ld0137_7",7,-6.10617620427988,-5.79756494200768,-5.40259913093396,-5.51494096899779,-5.19454400976075,-4.75387404338861,0.651020722269143,0.651020722269143,0.651020722269143,0.651020722269143,0.813225275596688,0.813225275596688,22,24,30,22,24,25
"ld0137","ld0137_8",8,-4.97883129574825,-5.45287793036626,-5.18444757766398,-5.46918777867944,-5.14497243982407,-4.89573066374324,0.664654175100285,0.671462877640307,0.83328930983478,0.671462877640307,0.83328930983478,0.664654175100285,32,23,28,30,23,24
"ld0137","ld0137_9",9,-5.36373648863417,-5.48497012948822,-5.08892797146649,-4.73554986477033,-4.833526047822,-4.69550132182992,0.732501987051341,0.651020722269143,0.705426486327511,0.651020722269143,0.705426486327511,0.732501987051341,24,32,30,22,21.5,23.5
"ld0138","ld0138_10",10,-5.78343853208858,-5.5244443639148,-5.45347101584773,-5.08047472023808,-5.06601524328359,-4.6837786393629,-0.330227791346171,-0.817248653502053,-1.15500873412717,-0.817248653502053,-1.15500873412717,-0.330227791346171,24,32,30,22.5,22.5,22.5
"ld0138","ld0138_2",2,-5.64994734347464,-5.70791429889772,-5.51211126242795,-5.39609625109788,-5.256131438608,-4.47958054576168,-0.186290726247462,-0.625468672517744,-0.570322017023104,-0.570322017023104,-0.625468672517744,-0.186290726247462,26.5,24,22,23.5,24,26
"ld0138","ld0138_3",3,-6.21675339793251,-5.9464139377947,-5.3084808401145,-5.39459547464385,-4.60062652407155,-5.21096439790748,-1.07973190691373,-1.08806382396484,-1.09640374862607,-1.07973190691373,-1.09640374862607,-1.08806382396484,23,26,27,22,32,26
